#{"t_start": 1777539009.2851279, "env_id": "None"}
r,l,t
-0.076222,12,5.316039
-0.301849,54,5.323654
-0.086427,7,5.324679
-0.272043,24,5.328074
-0.164371,14,5.330054
-0.490858,48,5.336873
-0.124684,21,5.339896
-0.087362,5,5.340633
-0.057176,8,5.34178
-0.08878,9,5.343071
-0.106496,27,5.346833
-0.109458,19,5.34983
-0.116377,10,5.35132
-0.129513,20,5.354215
-0.35916,37,5.3595
-0.11583,16,5.361839
-0.120506,7,5.362874
-0.296671,47,5.369822
-0.168794,27,5.373739
-0.274537,27,5.377596
-0.393795,46,5.384521
-0.088775,14,5.386959
-0.285259,31,5.391544
-0.073125,10,5.393026
-0.105382,9,5.394328
-0.209583,19,5.397056
-0.226216,24,5.400469
-0.064086,8,5.401637
-0.142121,11,5.403204
-0.156855,27,5.406986
-0.357977,58,5.415084
-0.127256,9,5.416412
-0.245816,30,5.420537
-0.153255,26,5.424157
-0.126265,10,5.425581
-0.081893,8,5.426713
-0.081839,9,5.428008
-0.304785,29,5.432101
-0.100675,12,5.433773
-0.278515,47,5.440195
-0.222683,26,5.444157
-0.144572,21,5.447206
-0.151473,16,5.449596
-0.302343,49,5.456303
-0.126981,10,5.457692
-0.172497,26,5.461177
-0.227601,34,5.465914
-0.081815,5,5.466662
-0.170557,23,5.469822
-0.112105,7,5.470854
-0.16194,18,5.473304
-0.149736,20,5.47621
-0.065817,10,5.477723
-0.109374,14,5.479901
-0.186188,24,5.484036
-0.245858,30,5.488476
-0.153025,13,5.490401
-0.183936,15,5.492566
-0.084284,12,5.494291
-0.120178,9,5.495569
-0.150492,12,5.49719
-0.184714,26,5.500986
-0.128183,14,5.502983
-0.144087,24,5.506319
-0.202543,21,5.50921
-0.124051,11,5.510711
-0.131643,18,5.513142
-0.11454,11,5.514737
-0.096904,6,5.515644
-0.137813,12,5.517351
-0.153566,15,5.519479
-0.121887,14,5.521384
-0.171469,23,5.524552
-0.273789,50,5.531976
-0.118407,11,5.53369
-0.065057,10,5.535256
-0.288091,45,5.541634
-0.23029,43,5.547586
-0.150965,21,5.550876
-0.094979,18,5.55341
-0.219172,34,5.558146
-0.085478,21,5.561057
-0.185619,25,5.564624
-0.099599,9,5.566037
-0.145387,27,5.569793
-0.111757,17,5.572215
-0.082748,10,5.573603
-0.109561,8,5.574751
-0.281262,35,6.049693
-0.098131,14,6.051732
-0.118062,12,6.053423
-0.14875,20,6.056252
-0.080751,12,6.057917
-0.173861,26,6.06153
-0.143092,17,6.063922
-0.084609,8,6.065154
-0.095797,7,6.066271
-0.173889,23,6.069481
-0.280828,28,6.073325
-0.13238,11,6.074975
-0.457939,74,6.085891
-0.123622,14,6.087897
-0.162954,17,6.090308
-0.133056,13,6.09217
-0.104175,7,6.093177
-0.142485,15,6.095255
-0.284654,33,6.099962
-0.074436,17,6.102715
-0.17406,17,6.105132
-0.136681,11,6.106688
-0.094267,12,6.108356
-0.355456,36,6.113292
-0.189588,28,6.117172
-0.251394,25,6.120568
-0.124431,14,6.122481
-0.142581,17,6.124816
-0.127755,10,6.126211
-0.173317,14,6.128204
-0.153829,23,6.131452
-0.255457,37,6.136702
-0.197708,24,6.140017
-0.151051,26,6.143692
-0.096029,9,6.144938
-0.114626,9,6.146183
-0.123428,17,6.148632
-0.079996,10,6.15002
-0.09214,13,6.1518
-0.230455,34,6.156375
